course_code_section,faculty_name,schedule,room,available_seats
ACT201.1,AhU,RA 11:20 AM - 12:50 PM,NAC206,40
ACT201.2,ARm,ST 04:20 PM - 05:50 PM,NAC309,40
ACT201.3,Asy,ST 01:00 PM - 02:30 PM,NAC410,40
ACT201.4,Asy,ST 09:40 AM - 11:10 AM,NAC206,40
ACT201.5,AWKm,RA 02:40 PM - 04:10 PM,NAC410,40
ACT201.6,FI,MW 01:00 PM - 02:30 PM,NAC310,40
ACT201.7,FI,MW 02:40 PM - 04:10 PM,NAC206,40
ACT201.8,IAC,MW 08:00 AM - 09:30 AM,NAC406,40
ACT201.9,MdM,MW 11:20 AM - 12:50 PM,NAC620,40
ACT201.10,MIBS,MW 08:00 AM - 09:30 AM,NAC411,40
ACT201.11,MNl1,MW 09:40 AM - 11:10 AM,NAC510,40
ACT201.12,NHO,MW 01:00 PM - 02:30 PM,NAC411,40
ACT201.13,NHO,MW 11:20 AM - 12:50 PM,NAC508,40
ACT201.14,NHO,ST 09:40 AM - 11:10 AM,NAC411,40
ACT201.15,NHO,ST 11:20 AM - 12:50 PM,NAC411,40
ACT201.16,NNh,MW 08:00 AM - 09:30 AM,NAC309,40
ACT201.17,NNh,MW 09:40 AM - 11:10 AM,NAC309,40
ACT201.18,NNh,MW 11:20 AM - 12:50 PM,NAC310,40
ACT201.19,Rby,MW 04:20 PM - 05:50 PM,NAC310,40
ACT201.20,SHA1,ST 01:00 PM - 02:30 PM,NAC507,40
ACT201.21,TBA,MW 01:00 PM - 02:30 PM,OAT601,40
ACT201.22,TBA,MW 02:40 PM - 04:10 PM,NAC510,40
ACT201.23,TBA,ST 01:00 PM - 02:30 PM,NAC509,40
ACT201.24,TBA,ST 02:40 PM - 04:10 PM,NAC510,40
ACT201.25,TsA,ST 08:00 AM - 09:30 AM,NAC620,40
ACT201.26,AZR,ST 08:00 AM - 09:30 AM,NAC206,40
ACT201.27,Hmm,ST 02:40 PM - 04:10 PM,NAC411,40
ACT201.28,Hmm,ST 04:20 PM - 05:50 PM,NAC410,40
ACT201.29,KSR,RA 02:40 PM - 04:10 PM,NAC215,40
ACT201.30,MOB,RA 09:40 AM - 11:10 AM,NAC410,40
ACT201.31,MSKN,RA 02:40 PM - 04:10 PM,NAC310,40
ACT202.1,AhU,ST 04:20 PM - 05:50 PM,NAC206,40
ACT202.2,FI,ST 01:00 PM - 02:30 PM,NAC411,40
ACT202.3,FI,ST 02:40 PM - 04:10 PM,NAC310,40
ACT202.4,IAC,ST 08:00 AM - 09:30 AM,NAC310,40
ACT202.5,IAC,ST 09:40 AM - 11:10 AM,NAC310,40
ACT202.6,MGR,MW 08:00 AM - 09:30 AM,NAC410,40
ACT202.7,MIBS,ST 08:00 AM - 09:30 AM,NAC410,40
ACT202.8,MRE,RA 11:20 AM - 12:50 PM,NAC410,40
ACT202.9,Rby,MW 01:00 PM - 02:30 PM,NAC509,40
ACT202.10,RMH1,MW 08:00 AM - 09:30 AM,NAC508,40
ACT202.11,RMH1,ST 08:00 AM - 09:30 AM,NAC507,40
ACT202.12,SHA1,MW 01:00 PM - 02:30 PM,NAC508,40
ACT202.13,SHA1,MW 02:40 PM - 04:10 PM,NAC410,40
ACT202.14,Sys,ST 02:40 PM - 04:10 PM,NAC509,40
